Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/upload,5,0,32,35.42063520035299,23.468453000532463,52.30607500016049,93.0,0.08258891764702853,0.0,32,45,45,52,52,52,52,52,52,52,52
WS,result wait (completed),4,0,35000,35527.01935724963,22877.098918999764,47873.95250899863,383.75,0.06607113411762282,0.0,37000,37000,48000,48000,48000,48000,48000,48000,48000,48000,48000
,Aggregated,9,0,52,15809.4645116667,23.468453000532463,47873.95250899863,222.22222222222223,0.14866005176465133,0.0,52,23000,35000,37000,48000,48000,48000,48000,48000,48000,48000
