Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /api/v1/upload,11,0,17,46.87609390913911,11.419196000133525,141.40238399886584,93.0,0.22052908738428972,0.0,17,30,120,120,120,140,140,140,140,140,140
WS,result wait (error),11,11,11000,9664.82985227247,4929.02900000081,13787.5270429995,128.0,0.22052908738428972,0.22052908738428972,11000,11000,12000,12000,12000,14000,14000,14000,14000,14000,14000
,Aggregated,22,11,140,4855.852973090805,11.419196000133525,13787.5270429995,110.5,0.44105817476857945,0.22052908738428972,4900,7500,11000,11000,12000,12000,14000,14000,14000,14000,14000
